%mand_s=7.6176e+06 kt02=4 p_pdf=13200
%num_elements=8100
%num_sum_T_pp_A=15
%num_sum_T_pp_B=15
%num_T_AA(0)=6
%num_T_BB(0)=6

%sum_T_pp_A
0.03411 0.075245 0.11638 0.157515 0.19865 0.239785 0.28092 0.322055 0.36319 0.404325 0.44546 0.486595 0.52773 0.568865 0.61 

%sum_T_pp_B
0.03411 0.075245 0.11638 0.157515 0.19865 0.239785 0.28092 0.322055 0.36319 0.404325 0.44546 0.486595 0.52773 0.568865 0.61 

%T_AA(0)
30 33.2 36.4 39.6 42.8 46 

%T_BB(0)
30 33.2 36.4 39.6 42.8 46 

%sigma_jet_values
153.235 153.764 154.2 154.566 154.877 155.145 
153.929 154.459 154.896 155.263 155.575 155.843 
154.526 155.057 155.495 155.863 156.175 156.444 

143.7 144.857 145.811 146.611 147.291 147.877 
144.857 146.018 146.976 147.779 148.461 149.049 
145.811 146.976 147.936 148.741 149.426 150.016 
146.611 147.781 148.741 149.548 150.235 150.826 
147.294 148.462 149.426 150.235 150.923 151.515 
147.876 149.049 150.016 150.826 151.515 152.108 

137.135 138.927 140.4 141.637 142.689 143.595 
138.269 140.066 141.546 142.787 143.843 144.752 
139.203 141.006 142.49 143.735 144.794 145.706 
139.986 141.792 143.281 144.53 145.591 146.505 
140.652 142.462 143.955 145.205 146.269 147.188 
141.226 143.039 144.534 145.787 146.856 147.771 

130.572 132.996 134.991 136.665 138.088 139.314 
131.681 134.112 136.117 137.796 139.225 140.457 
132.595 135.034 137.044 138.729 140.164 141.396 
133.362 135.808 137.822 139.512 140.948 142.185 
134.014 136.465 138.484 140.177 141.617 142.856 
134.576 137.031 139.054 140.749 142.191 143.433 

124.007 127.062 129.58 131.691 133.487 135.033 
125.094 128.159 130.687 132.805 134.607 136.159 
125.988 129.063 131.599 133.723 135.533 137.087 
126.787 129.821 132.363 134.493 136.306 137.865 
127.376 130.466 133.013 135.148 136.964 138.527 
127.926 131.021 133.572 135.711 137.739 139.097 

117.441 121.13 124.17 126.718 128.886 130.752 
118.504 122.206 125.305 127.814 129.989 131.862 
119.38 123.093 126.153 128.717 130.899 132.777 
120.115 123.836 126.903 129.475 131.662 133.545 
120.738 124.468 127.541 130.119 132.312 134.197 
121.277 125.012 128.091 130.673 132.869 134.759 

